[INFO 11:55:15 PM] miguelsolorio.symbols activated
[INFO 11:55:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:39:49 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:39:49 AM] symbols.files.associations changed, updating to undefined
[INFO 12:40:04 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:40:04 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:40:04 AM] symbols.files.associations changed, updating to undefined
[INFO 12:40:18 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:40:18 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:40:18 AM] symbols.files.associations changed, updating to undefined
[INFO 12:40:55 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:40:55 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:40:55 AM] symbols.files.associations changed, updating to undefined
[INFO 12:41:38 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:41:38 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:41:38 AM] symbols.files.associations changed, updating to undefined
[INFO 12:49:29 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:49:29 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:49:29 AM] symbols.files.associations changed, updating to undefined
[INFO 12:49:30 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:49:30 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:49:30 AM] symbols.files.associations changed, updating to undefined
[INFO 12:51:22 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:51:22 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:51:22 AM] symbols.files.associations changed, updating to undefined
[INFO 12:51:24 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:51:24 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:51:24 AM] symbols.files.associations changed, updating to undefined
[INFO 12:51:32 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:51:32 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:51:32 AM] symbols.files.associations changed, updating to undefined
[INFO 12:51:53 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:51:53 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:51:53 AM] symbols.files.associations changed, updating to undefined
[INFO 12:51:54 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:51:54 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:51:54 AM] symbols.files.associations changed, updating to undefined
[INFO 12:52:06 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:52:06 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:52:06 AM] symbols.files.associations changed, updating to undefined
[INFO 12:52:08 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:52:08 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:52:08 AM] symbols.files.associations changed, updating to undefined
[INFO 12:57:03 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:57:03 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:57:03 AM] symbols.files.associations changed, updating to undefined
[INFO 12:57:04 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:57:04 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:57:04 AM] symbols.files.associations changed, updating to undefined
[INFO 12:57:25 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:57:25 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:57:25 AM] symbols.files.associations changed, updating to undefined
[INFO 12:57:28 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:57:28 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:57:28 AM] symbols.files.associations changed, updating to undefined
[INFO 1:08:48 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:08:48 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:08:48 AM] symbols.files.associations changed, updating to undefined
[INFO 1:08:49 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:08:49 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:08:49 AM] symbols.files.associations changed, updating to undefined
[INFO 1:09:57 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:09:57 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:09:57 AM] symbols.files.associations changed, updating to undefined
[INFO 1:10:20 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:10:20 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:10:20 AM] symbols.files.associations changed, updating to undefined
[INFO 1:11:20 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:20 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:11:20 AM] symbols.files.associations changed, updating to undefined
[INFO 1:11:22 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:22 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:11:22 AM] symbols.files.associations changed, updating to undefined
[INFO 1:11:31 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:31 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:11:31 AM] symbols.files.associations changed, updating to undefined
[INFO 1:24:31 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:24:31 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:24:31 AM] symbols.files.associations changed, updating to undefined
[INFO 1:24:32 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:24:32 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:24:32 AM] symbols.files.associations changed, updating to undefined
[INFO 1:30:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:30:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:30:26 AM] symbols.files.associations changed, updating to undefined
